Title,Director,Rating,Cast,Votes
The Negotiator,F. Gary Gray,7.3,"Samuel L. Jackson, Kevin Spacey, David Morse, Ron Rifkin",155227
Georgia Rule,Garry Marshall,5.9,"Jane Fonda, Lindsay Lohan, Felicity Huffman, Dermot Mulroney",26965
The Cutting Edge,Paul Michael Glaser,6.9,"D.B. Sweeney, Moira Kelly, Roy Dotrice, Terry O'Quinn",22396
Class,Lewis John Carlino,6.0,"Jacqueline Bisset, Rob Lowe, Andrew McCarthy, Cliff Robertson",12126
The Boss Baby: Family Business,Tom McGrath,5.9,"Alec Baldwin, James Marsden, Amy Sedaris, Ariana Greenblatt",22596
Sayonara,Joshua Logan,7.0,"Marlon Brando, Ricardo Montalban, Patricia Owens, James Garner",7755
Bio-Dome,Jason Bloom,4.4,"Pauly Shore, Stephen Baldwin, William Atherton, Denise Dowse",29802
Solaris,Steven Soderbergh,6.2,"George Clooney, Natascha McElhone, Ulrich Tukur, Viola Davis",86318
Secret in Their Eyes,Billy Ray,6.3,"Chiwetel Ejiofor, Nicole Kidman, Julia Roberts, Dean Norris",51391
Blue Jasmine,Woody Allen,7.3,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard, Sally Hawkins",212734
THX 1138,George Lucas,6.6,"Robert Duvall, Donald Pleasence, Don Pedro Colley, Maggie McOmie",54714
I Feel Pretty,Abby Kohn,5.6,"Marc Silverstein, Amy Schumer, Michelle Williams, Emily Ratajkowski, Tom Hopper",57320
Ferdinand,Carlos Saldanha,6.7,"John Cena, Kate McKinnon, Bobby Cannavale, Jack Gore",63772
Ouija: Origin of Evil,Mike Flanagan,6.2,"Elizabeth Reaser, Lulu Wilson, Annalise Basso, Henry Thomas",73272
Zardoz,John Boorman,5.8,"Sean Connery, Charlotte Rampling, Sara Kestelman, John Alderton",24593
Diary of a Wimpy Kid: Rodrick Rules,David Bowers,6.6,"Zachary Gordon, Devon Bostick, Robert Capron, Rachael Harris",36696
Unknown,Jaume Collet-Serra,6.8,"Liam Neeson, Diane Kruger, January Jones, Aidan Quinn",269523
Hanyo,Im Sang-soo,6.4,"Jeon Do-yeon, Lee Jung-jae, Youn Yuh-jung, Woo Seo",12528
The Lego Movie 2: The Second Part,Mike Mitchell,6.5,"Chris Pratt, Elizabeth Banks, Will Arnett, Tiffany Haddish",76844
Powder,Victor Salva,6.6,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",32653
The Producers,Susan Stroman,6.3,"Nathan Lane, Matthew Broderick, Uma Thurman, Will Ferrell",44805
Seed of Chucky,Don Mancini,4.9,"Jennifer Tilly, Brad Dourif, John Waters, Billy Boyd",49970
Blue Mountain State: The Rise of Thadland,Lev L. Spiro,5.7,"Alan Ritchson, Darin Brooks, James Cade, Rob Ramsay",16760
Blitz,Elliott Lester,6.1,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton",91433
Las edades de Lulú,Bigas Luna,5.5,"Francesca Neri, Óscar Ladoire, María Barranco, Fernando Guillén Cuervo",4272
Die Welle,Dennis Gansel,7.6,"Jürgen Vogel, Frederick Lau, Max Riemelt, Jennifer Ulrich",115243
The Catcher Was a Spy,Ben Lewin,6.2,"Paul Rudd, Pierfrancesco Favino, Tom Wilkinson, Connie Nielsen",11934
Beomjoidosi 3,Lee Sang-yong,6.6,"Ma Dong-seok, Lee Jun-hyuk, Munetaka Aoki, Ahn Se-ho",5138
Carnage,Roman Polanski,7.1,"Jodie Foster, Kate Winslet, Christoph Waltz, John C. Reilly",133160
A Beautiful Life,Mehdi Avaz,6.4,"Ardalan Esmaili, Christopher, Inga Ibsdotter Lilleaas, Sebastian Jessen",7780
3096 Tage,Sherry Hormann,6.5,"Antonia Campbell-Hughes, Thure Lindhardt, Amelia Pidgeon, Trine Dyrholm",16322
Friday the 13th: A New Beginning,Danny Steinmann,4.7,"Melanie Kinnaman, John Shepherd, Anthony Barrile, Suzanne Bateman",44008
One Hour Photo,Mark Romanek,6.8,"Robin Williams, Connie Nielsen, Michael Vartan, Dylan Smith",131883
Just Like Heaven,Mark Waters,6.7,"Reese Witherspoon, Mark Ruffalo, Donal Logue, Dina Spybey-Waters",117502
Hermana muerte,Paco Plaza,5.7,"Aria Bedmar, Maru Valdivielso, Luisa Merelas, Chelo Vivares",7584
Bridget Jones's Baby,Sharon Maguire,6.5,"Renée Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",82456
My Big Fat Greek Wedding 2,Kirk Jones,6.0,"Nia Vardalos, John Corbett, Michael Constantine, Lainie Kazan",35657
Spun,Jonas Åkerlund,6.7,"Jason Schwartzman, John Leguizamo, Patrick Fugit, Brittany Murphy",40789
Made in Italy,James D'Arcy,6.0,"Yolanda Kettle, Micheál Neeson, Souad Faress, Liam Neeson",10970
Beomjoidosi,Yunsung Kang,7.2,"Ma Dong-seok, Yoon Kyesang, Jo Jae-yoon, Choi Gwi-hwa",12743
Shoot 'Em Up,Michael Davis,6.6,"Clive Owen, Monica Bellucci, Paul Giamatti, Stephen McHattie",155115
Home Again,Hallie Meyers-Shyer,5.8,"Reese Witherspoon, Michael Sheen, Candice Bergen, Pico Alexander",35186
Till Death,S.K. Dale,5.9,"Megan Fox, Eoin Macken, Callan Mulvey, Jack Roth",26275
Calm with Horses,Nick Rowland,6.8,"Cosmo Jarvis, Barry Keoghan, Liam Carney, David Wilmot",7140
L'uomo che guarda,Tinto Brass,5.5,"Katarina Vasilissa, Francesco Casale, Cristina Garavaglia, Raffaella Offidani",3886
Relic,Natalie Erika James,6.0,"Robyn Nevin, Emily Mortimer, Bella Heathcote, Steve Rodgers",30327
Always,Steven Spielberg,6.4,"Richard Dreyfuss, Holly Hunter, Brad Johnson, John Goodman",32849
Hausu,Nobuhiko Ôbayashi,7.3,"Kimiko Ikegami, Miki Jinbo, Kumiko Ôba, Ai Matsubara",33842
The Bubble,Judd Apatow,4.7,"Harry Trevaldwyn, Samson Kayo, Peter Serafinowicz, Danielle Vitalis",28681
The Back-up Plan,Alan Poul,5.3,"Jennifer Lopez, Alex O'Loughlin, Michaela Watkins, Eric Christian Olsen",52333
Resident Evil: The Final Chapter,Paul W.S. Anderson,5.5,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",101139
Grosse Pointe Blank,George Armitage,7.3,"John Cusack, Minnie Driver, Dan Aykroyd, Joan Cusack",99734
Dýrið,Valdimar Jóhannsson,6.3,"Noomi Rapace, Hilmir Snær Guðnason, Björn Hlynur Haraldsson, Ingvar Sigurdsson",38554
Fame,Alan Parker,6.6,"Eddie Barth, Irene Cara, Lee Curreri, Laura Dean",24743
The Unborn,David S. Goyer,4.7,"Odette Annable, Gary Oldman, Cam Gigandet, Meagan Good",53373
The Lego Ninjago Movie,Charlie Bean,6.0,"Paul Fisher, Bob Logan, Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani",30007
Endless Love,Shana Feste,6.2,"Gabriella Wilde, Alex Pettyfer, Bruce Greenwood, Robert Patrick",47631
Deadstream,Joseph Winter,6.4,"Vanessa Winter, Joseph Winter, Melanie Stone, Jason K. Wixom, Pat Barnett",17653
The Postman Always Rings Twice,Bob Rafelson,6.6,"Jack Nicholson, Jessica Lange, John Colicos, Michael Lerner",25836
Wes Craven's New Nightmare,Wes Craven,6.4,"Heather Langenkamp, Robert Englund, Jf Davis, Miko Hughes",64326
Aliens in the Attic,John Schultz,5.4,"Ashley Tisdale, Robert Hoffman, Carter Jenkins, Austin Butler",24420
Adrift,Baltasar Kormákur,6.6,"Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne",61879
Falling for Figaro,Ben Lewin,6.4,"Christina Bennington, Danielle Macdonald, Shazad Latif, Mark Weinman",4142
Hi Nanna,Shouryuv,8.2,"Nani, Mrunal Thakur, Kiara Khanna, Nassar",15749
The Do-Over,Steven Brill,5.7,"Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",51502
Gunhamdo,Ryu Seung-wan,7.1,"Hwang Jung-min, So Ji-seob, Song Joong-ki, Lee Jung-hyun",8519
The VelociPastor,Brendan Steere,5.1,"Gregory James Cohan, George Schewnzer, Janice Young, Daniel Steere",8720
Death Wish,Eli Roth,6.3,"Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Camila Morrone",76545
North Country,Niki Caro,7.3,"Charlize Theron, Jeremy Renner, Frances McDormand, Thomas Curtis",44977
Creed II,Steven Caple Jr.,7.1,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",155826
Inside,Vasilis Katsoupis,5.5,"Willem Dafoe, Gene Bervoets, Eliza Stuyck, Andrew Blumenthal",17245
Hard Ball,Brian Robbins,6.4,"Keanu Reeves, Diane Lane, John Hawkes, Bryan Hearne",33419
Along Came a Spider,Lee Tamahori,6.4,"Morgan Freeman, Michael Wincott, Monica Potter, Dylan Baker",96015
Keanu,Peter Atencio,6.2,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish, Method Man",52047
The Grapes of Wrath,John Ford,8.1,"Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin",100106
Spiral: From the Book of Saw,Darren Lynn Bousman,5.2,"Chris Rock, Samuel L. Jackson, Max Minghella, Marisol Nichols",68504
Your Highness,David Gordon Green,5.5,"Danny McBride, Natalie Portman, James Franco, Rasmus Hardiker",104495
Point Blank,John Boorman,7.3,"Lee Marvin, Angie Dickinson, Keenan Wynn, Carroll O'Connor",23362
The Inbetweeners Movie,Ben Palmer,6.7,"James Buckley, Blake Harrison, Joe Thomas, Simon Bird",86757
Firestarter,Mark L. Lester,6.1,"Drew Barrymore, David Keith, Freddie Jones, Heather Locklear",36981
The Boy,William Brent Bell,6.0,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",102007
The Client,Joel Schumacher,6.7,"Susan Sarandon, Tommy Lee Jones, Brad Renfro, Mary-Louise Parker",73812
La Belle Noiseuse,Jacques Rivette,7.5,"Michel Piccoli, Jane Birkin, Emmanuelle Béart, Marianne Denicourt",9387
Kumbalangi Nights,Madhu C. Narayanan,8.5,"Shane Nigam, Soubin Shahir, Fahadh Faasil, Sreenath Bhasi",17913
Munich: The Edge of War,Christian Schwochow,6.8,"George MacKay, Jannis Niewöhner, Jeremy Irons, Liv Lisa Fries",35984
An American Tail,Don Bluth,6.9,"Dom DeLuise, Christopher Plummer, Erica Yohn, Nehemiah Persoff",58164
Breathe,Andy Serkis,7.1,"Andrew Garfield, Claire Foy, Hugh Bonneville, Ed Speleers",24718
Jay and Silent Bob Reboot,Kevin Smith,5.6,"Joey Lauren Adams, Ben Affleck, Fred Armisen, Diedrich Bader",28319
Disclosure,Barry Levinson,6.2,"Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall",54491
Johnny Mnemonic,Robert Longo,5.6,"Keanu Reeves, Dolph Lundgren, Dina Meyer, Ice-T",76291
Halloween Kills,David Gordon Green,5.5,"Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney",98488
Contes immoraux,Walerian Borowczyk,5.6,"Lise Danvers, Fabrice Luchini, Charlotte Alexandra, Paloma Picasso",5465
Freddy Got Fingered,Tom Green,4.7,"Tom Green, Rip Torn, Marisa Coughlan, Eddie Kaye Thomas",51444
Entourage,Doug Ellin,6.5,"Adrian Grenier, Kevin Connolly, Jerry Ferrara, Kevin Dillon",82964
Fright Night,Craig Gillespie,6.4,"Anton Yelchin, Colin Farrell, David Tennant, Toni Collette",113253
Good Joe Bell,Reinaldo Marcus Green,6.2,"Mark Wahlberg, Reid Miller, Connie Britton, Maxwell Jenkins",9603
Snowtown,Justin Kurzel,6.6,"Lucas Pittaway, Daniel Henshall, Louise Harris, Bob Adriaens",20665
"See No Evil, Hear No Evil",Arthur Hiller,6.8,"Richard Pryor, Gene Wilder, Joan Severance, Kevin Spacey",58469
Quills,Philip Kaufman,7.2,"Geoffrey Rush, Kate Winslet, Joaquin Phoenix, Michael Caine",56779
The Misfits,Renny Harlin,4.5,"Pierce Brosnan, Tim Roth, Nick Cannon, Rami Jaber",13463
The Breed,Nicholas Mastandrea,5.1,"Michelle Rodriguez, Oliver Hudson, Taryn Manning, Eric Lively",14281
Saw III,Darren Lynn Bousman,6.2,"Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh",212754
Elizabeth: The Golden Age,Shekhar Kapur,6.8,"Cate Blanchett, Clive Owen, Geoffrey Rush, Jordi Mollà",75146
Miracles from Heaven,Patricia Riggen,7.1,"Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino",28467
About Schmidt,Alexander Payne,7.2,"Jack Nicholson, Hope Davis, Dermot Mulroney, Kathy Bates",133691
Syk pike,Kristoffer Borgli,7.1,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager, Sarah Francesca Brænne",15799
The Palace,Roman Polanski,5.4,"Oliver Masucci, Fanny Ardant, John Cleese, Bronwyn James",2450
The Vanishing,Kristoffer Nyholm,5.9,"Peter Mullan, Gerard Butler, Emma King, Gary Lewis",20733
Thunderbolt and Lightfoot,Michael Cimino,7.0,"Clint Eastwood, Jeff Bridges, George Kennedy, Geoffrey Lewis",28784
The Last Stand,Jee-woon Kim,6.3,"Arnold Schwarzenegger, Forest Whitaker, Johnny Knoxville, Rodrigo Santoro",145472
Shattered Glass,Billy Ray,7.1,"Hayden Christensen, Chloë Sevigny, Steve Zahn, Peter Sarsgaard",37726
Jason and the Argonauts,Don Chaffey,7.3,"Todd Armstrong, Nancy Kovack, Gary Raymond, Laurence Naismith",31102
PK,Rajkumar Hirani,8.1,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",201607
White Oleander,Peter Kosminsky,7.1,"Michelle Pfeiffer, Renée Zellweger, Robin Wright, Alison Lohman",34117
In a Valley of Violence,Ti West,6.1,"Ethan Hawke, John Travolta, Taissa Farmiga, James Ransone",20853
The Lady in the Van,Nicholas Hytner,6.7,"Maggie Smith, Alex Jennings, Jim Broadbent, Clare Hammond",32038
American Underdog,Andrew Erwin,7.1,"Jon Erwin, Zachary Levi, Anna Paquin, Hayden Zaller, Ser'Darius Blain",23689
Prey for the Devil,Daniel Stamm,5.3,"Jacqueline Byers, Debora Zhecheva, Christian Navarro, Posy Taylor",17675
Cooties,Jonathan Milott,5.7,"Cary Murnion, Elijah Wood, Rainn Wilson, Alison Pill, Jack McBrayer",28638
The Living Daylights,John Glen,6.7,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé, Joe Don Baker",105970
Ringu,Hideo Nakata,7.2,"Nanako Matsushima, Miki Nakatani, Yûko Takeuchi, Hitomi Satô",77673
Saving Mr. Banks,John Lee Hancock,7.5,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",170172
One from the Heart,Francis Ford Coppola,6.5,"Frederic Forrest, Teri Garr, Raul Julia, Nastassja Kinski",7274
Mansfield Park,Patricia Rozema,7.0,"Frances O'Connor, Jonny Lee Miller, Alessandro Nivola, Hannah Taylor Gordon",25883
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,7.6,"Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo, Robert Agengo",44572
Hitchcock,Sacha Gervasi,6.8,"Anthony Hopkins, Helen Mirren, Scarlett Johansson, Danny Huston",79305
Charlie's Angels: Full Throttle,McG,4.9,"Drew Barrymore, Lucy Liu, Cameron Diaz, Bernie Mac",133150
Mommy,Xavier Dolan,8.0,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément, Patrick Huard",61928
The Cable Guy,Ben Stiller,6.1,"Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black",178334
The War of the Roses,Danny DeVito,6.8,"Michael Douglas, Kathleen Turner, Danny DeVito, Marianne Sägebrecht",57457
You Can Live Forever,Mark Slutsky,6.9,"Sarah Watts, Anwen O'Driscoll, June Laporte, Liane Balaban, Antoine Yared",2777
Elvira: Mistress of the Dark,James Signorelli,6.6,"Cassandra Peterson, Phil Rubenstein, Larry Flash Jenkins, Damita Jo Freeman",20898
Monster Trucks,Chris Wedge,5.7,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",18964
Troll,Roar Uthaug,5.8,"Ine Marie Wilmann, Kim Falck, Mads Sjøgård Pettersen, Gard B. Eidsvold",49326
Mou gaan dou,Andrew Lau,8.0,"Alan Mak, Andy Lau, Tony Leung Chiu-wai, Anthony Chau-Sang Wong, Eric Tsang",131631
The Old Way,Brett Donowho,5.5,"Nicolas Cage, Ryan Kiera Armstrong, Clint Howard, Katelyn Bauer",8761
Marathon Man,John Schlesinger,7.4,"Dustin Hoffman, Laurence Olivier, Roy Scheider, William Devane",70352
Rio 2,Carlos Saldanha,6.3,"Jesse Eisenberg, Anne Hathaway, Jemaine Clement, Andy Garcia",100756
Double Blind,Ian Hunt-Duffy,5.6,"Millie Brady, Pollyanna McIntosh, Akshay Kumar, Diarmuid Noyes",2956
Conspiracy Theory,Richard Donner,6.7,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart",107388
En man som heter Ove,Hannes Holm,7.7,"Rolf Lassgård, Bahar Pars, Filip Berg, Ida Engvoll",68636
Leave No Trace,Debra Granik,7.1,"Thomasin McKenzie, Ben Foster, Jeffery Rifflard, Derek John Drescher",65392
Silent Night,Camille Griffin,5.8,"Keira Knightley, Matthew Goode, Roman Griffin Davis, Annabelle Wallis",20077
Peter Rabbit,Will Gluck,6.6,"James Corden, Fayssal Bazzi, Domhnall Gleeson, Sia",48218
Fist Fight,Richie Keen,5.6,"Ice Cube, Charlie Day, Tracy Morgan, Christina Hendricks",45692
Battle of Britain,Guy Hamilton,6.9,"Michael Caine, Trevor Howard, Harry Andrews, Curd Jürgens",24565
The List,Melissa Miller Costanzo,5.4,"Halston Sage, Shelley Hennig, Geoff Pierson, Lucy DeVito",4888
Four Lions,Christopher Morris,7.3,"Will Adamsdale, Riz Ahmed, Adeel Akhtar, Kayvan Novak",85430
Pinball: The Man Who Saved the Game,Austin Bragg,6.9,"Meredith Bragg, Mike Faist, Crystal Reed, Dennis Boutsikaris, Christopher Convery",3997
The Black Cauldron,Ted Berman,6.3,"Richard Rich, Grant Bardsley, Freddie Jones, Susan Sheridan, Nigel Hawthorne",40826
Rudy,David Anspaugh,7.5,"Sean Astin, Jon Favreau, Ned Beatty, Greta Lind",69170
Queen Bees,Michael Lembeck,6.3,"Ellen Burstyn, Jane Curtin, Loretta Devine, Ann-Margret",3735
Bhakshak,Pulkit,7.2,"Bhumi Pednekar, Sanjay Mishra, Aditya Srivastav, Sai Tamhankar",5577
The War Zone,Tim Roth,7.2,"Ray Winstone, Annabelle Apsion, Kate Ashfield, Lara Belmont",11221
Agora,Alejandro Amenábar,7.1,"Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom",73118
Siberia,Matthew Ross,4.3,"Keanu Reeves, Boris Gulyarin, Ashley St. George, Elliot Lazar",17186
Quigley Down Under,Simon Wincer,6.9,"Tom Selleck, Laura San Giacomo, Alan Rickman, Chris Haywood",24613
Avengement,Jesse V. Johnson,6.6,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran",20733
Seconds,John Frankenheimer,7.6,"Rock Hudson, Frank Campanella, John Randolph, Frances Reid",22290
Chaplin,Richard Attenborough,7.5,"Robert Downey Jr., Geraldine Chaplin, Paul Rhys, John Thaw",62293
The Jungle Book,Stephen Sommers,6.0,"Jason Scott Lee, Cary Elwes, Lena Headey, Sam Neill",18965
Underworld: Awakening,Måns Mårlind,6.3,"Björn Stein, Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea",161382
American Gigolo,Paul Schrader,6.3,"Richard Gere, Lauren Hutton, Hector Elizondo, Nina van Pallandt",29523
Hannibal Rising,Peter Webber,6.1,"Gaspard Ulliel, Rhys Ifans, Gong Li, Aaran Thomas",116030
Man Up,Ben Palmer,6.8,"Lake Bell, Rory Kinnear, Ken Stott, Harriet Walter",56559
Star Trek: First Contact,Jonathan Frakes,7.6,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",132208
No Retreat No Surrender,Corey Yuen,5.6,"Kurt McKinney, Jean-Claude Van Damme, J.W. Fails, Kathie Sileno",18818
Ice Age: The Meltdown,Carlos Saldanha,6.8,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott",297068
Hyena Road,Paul Gross,6.5,"Rossif Sutherland, Allan Hawco, David Richmond-Peck, Karl Campbell",8932
Good Bye Lenin!,Wolfgang Becker,7.7,"Daniel Brühl, Katrin Sass, Chulpan Khamatova, Florian Lukas",152874
The Curse of La Llorona,Michael Chaves,5.3,"Linda Cardellini, Raymond Cruz, Patricia Velasquez, Marisol Ramirez",57809
The People That Time Forgot,Kevin Connor,5.4,"Patrick Wayne, Doug McClure, Sarah Douglas, Dana Gillespie",3524
Antebellum,Gerard Bush,5.8,"Christopher Renz, Janelle Monáe, Eric Lange, Jena Malone, Jack Huston",29859
D3: The Mighty Ducks,Robert Lieberman,5.5,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling",28651
Hotel Artemis,Drew Pearce,6.1,"Jodie Foster, Sofia Boutella, Dave Bautista, Sterling K. Brown",58550
Interceptor,Matthew Reilly,4.7,"Elsa Pataky, Luke Bracey, Aaron Glenane, Mayen Mehta",27479
Red Sonja,Richard Fleischer,5.1,"Arnold Schwarzenegger, Brigitte Nielsen, Sandahl Bergman, Paul L. Smith",44953
Henry: Portrait of a Serial Killer,John McNaughton,7.0,"Michael Rooker, Tracy Arnold, Tom Towles, Mary Demas",40533
The Diary of a Teenage Girl,Marielle Heller,6.8,"Bel Powley, Alexander Skarsgård, Kristen Wiig, Christopher Meloni",33602
Chinjeolhan geumjassi,Park Chan-wook,7.5,"Nam-mi Kang, Jeong-nam Choi, Hye-Sook Go, Bok-hwa Baek",86251
Astérix & Obélix : Mission Cléopâtre,Alain Chabat,6.7,"Gérard Depardieu, Christian Clavier, Jamel Debbouze, Monica Bellucci",57942
Into the Storm,Steven Quale,5.8,"Richard Armitage, Sarah Wayne Callies, Matt Walsh, Max Deacon",71576
Maurice,James Ivory,7.6,"James Wilby, Rupert Graves, Hugh Grant, Denholm Elliott",23642
Airheads,Michael Lehmann,6.2,"Brendan Fraser, Steve Buscemi, Adam Sandler, Chris Farley",56462
Big Night,Campbell Scott,7.3,"Stanley Tucci, Tony Shalhoub, Stanley Tucci, Marc Anthony, Larry Block",22866
Killers,Robert Luketic,5.4,"Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara",96170
La montagna del dio cannibale,Sergio Martino,5.2,"Ursula Andress, Stacy Keach, Claudio Cassinelli, Antonio Marsina",4722
Vampire Academy,Mark Waters,5.4,"Zoey Deutch, Lucy Fry, Danila Kozlovskiy, Gabriel Byrne",56883
A Perfect Murder,Andrew Davis,6.6,"Michael Douglas, Gwyneth Paltrow, Viggo Mortensen, David Suchet",92341
I Am Mother,Grant Sputore,6.7,"Luke Hawker, Rose Byrne, Maddie Lenton, Hazel Sandery",99530
Dumplin',Anne Fletcher,6.5,"Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio",37645
Sand Castle,Fernando Coimbra,6.3,"Nicholas Hoult, Logan Marshall-Green, Henry Cavill, Glen Powell",27410
Une fille facile,Rebecca Zlotowski,5.6,"Mina Farid, Zahia Dehar, Benoît Magimel, Nuno Lopes",6249
Once,John Carney,7.8,"Glen Hansard, Markéta Irglová, Hugh Walsh, Gerard Hendrick",121384
The Fourth Kind,Olatunde Osunsanmi,5.9,"Milla Jovovich, Elias Koteas, Will Patton, Hakeem Kae-Kazim",81923
Todo sobre mi madre,Pedro Almodóvar,7.8,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan",103039
Body of Evidence,Uli Edel,4.6,"Madonna, Willem Dafoe, Joe Mantegna, Anne Archer",16416
Age of Consent,Michael Powell,6.3,"James Mason, Helen Mirren, Jack MacGowran, Neva Carr-Glynn",3734
The Invasion,Oliver Hirschbiegel,5.9,"Nicole Kidman, Daniel Craig, Jeremy Northam, Jackson Bond",82764
Mimi wo sumaseba,Yoshifumi Kondô,7.8,"Yoko Honna, Issei Takahashi, Takashi Tachibana, Shigeru Muroi",72887
Free Solo,Jimmy Chin,8.1,"Elizabeth Chai Vasarhelyi, Alex Honnold, Tommy Caldwell, Jimmy Chin, Cheyne Lempe",77644
The Muppet Movie,James Frawley,7.6,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt",39231
Mr. Holmes,Bill Condon,6.8,"Ian McKellen, Laura Linney, Hiroyuki Sanada, Hattie Morahan",68011
Vesper,Kristina Buozyte,6.0,"Bruno Samper, Raffiella Chapman, Eddie Marsan, Rosy McEwen, Richard Brake",22561
Detroit Rock City,Adam Rifkin,6.8,"Edward Furlong, Giuseppe Andrews, James DeBello, Sam Huntington",41393
Coonskin,Ralph Bakshi,6.4,"Barry White, Charles Gordone, Scatman Crothers, Philip Michael Thomas",3758
The Kingdom,Peter Berg,7.0,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman",132376
The Amityville Horror,Stuart Rosenberg,6.2,"James Brolin, Margot Kidder, Rod Steiger, Don Stroud",44675
Resident Evil: Afterlife,Paul W.S. Anderson,5.8,"Milla Jovovich, Ali Larter, Wentworth Miller, Kim Coates",179394
Babardeala cu bucluc sau porno balamuc,Radu Jude,6.5,"Katia Pascariu, Claudia Ieremia, Nicodim Ungureanu, Olimpia Malai",10538
Birdy,Alan Parker,7.2,"Matthew Modine, Nicolas Cage, John Harkins, Sandy Baron",24989
"10,000 BC",Roland Emmerich,5.1,"Camilla Belle, Steven Strait, Marco Khan, Cliff Curtis",135576
Kampen om Narvik,Erik Skjoldbjærg,6.6,"Kristine Hartgen, Carl Martin Eggesbø, Christoph Gelfert Mathiesen, Henrik Mestad",17518
The Secret Life of Pets 2,Chris Renaud,6.4,"Jonathan del Val, Patton Oswalt, Kevin Hart, Harrison Ford, Eric Stonestreet",69106
Death Wish 3,Michael Winner,5.8,"Charles Bronson, Deborah Raffin, Ed Lauter, Martin Balsam",17445
Think Like a Man,Tim Story,6.5,"Chris Brown, Gabrielle Union, Kevin Hart, Michael Ealy",50402
Stuck in Love,Josh Boone,7.2,"Greg Kinnear, Jennifer Connelly, Lily Collins, Nat Wolff",92057
Me Time,John Hamburg,5.1,"Kevin Hart, Mark Wahlberg, Regina Hall, Che Tafari",40630
Last Christmas,Paul Feig,6.5,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller",90584
The Voices,Marjane Satrapi,6.3,"Ryan Reynolds, Gemma Arterton, Anna Kendrick, Jacki Weaver",62707
Le salaire de la peur,Henri-Georges Clouzot,8.2,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli",66712
National Lampoon's European Vacation,Amy Heckerling,6.2,"Chevy Chase, Beverly D'Angelo, Dana Hill, Jason Lively",71665
De uskyldige,Eskil Vogt,7.0,"Rakel Lenora Petersen Fløttum, Alva Brynsmo Ramstad, Sam Ashraf, Mina Yasmin Bremseth Asheim",24926
The Crow: City of Angels,Tim Pope,4.6,"Vincent Perez, Mia Kirshner, Richard Brooks, Iggy Pop",21739
Little Italy,Donald Petrie,5.7,"Emma Roberts, Hayden Christensen, Danny Aiello, Andrea Martin",17472
Ingrid Goes West,Matt Spicer,6.6,"Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr., Wyatt Russell",48025
Margaux,Steven C. Miller,4.5,"Madison Pettis, Vanessa Morgan, Jedidiah Goodacre, Phoebe Miu",4306
Alpha,Albert Hughes,6.6,"Kodi Smit-McPhee, Jóhannes Haukur Jóhannesson, Marcin Kowalczyk, Jens Hultén",66628
The Birth of a Nation,Nate Parker,6.5,"Nate Parker, Armie Hammer, Penelope Ann Miller, Jackie Earle Haley",21844
